PlotID,SiteNum,RowNum,ColNum,Position,PlotName,SiteName,CropSp,CropTrt,LeavesStems_kg_1m2,Roots,Biomass_kg_9m2,LeavesStems_ tha
186,6,1,6,616,AG_VB-1,AG,VB,VB,1.1,0.1,3.5,12.13
186,6,1,6,616,AG_VB-1,AG,WD,VB,1.7,,,18.74
187,6,2,1,621,AG_SH-2,AG,SH,SH,1.1,1.1,3.25,12.13
187,6,2,1,621,AG_SH-2,AG,WD,SH,1.6,,,17.64
188,6,2,2,622,AG_SHSS-2,AG,SH,SHSS,0.6,0.7,1.3,6.61
188,6,2,2,622,AG_SHSS-2,AG,SS,SHSS,0.6,0.6,3.75,6.61
188,6,2,2,622,AG_SHSS-2,AG,WD,SHSS,1.2,,,13.23
189,6,2,3,623,AG_SHVB-2,AG,SH,SHVB,0.8,0.6,2.5,8.82
189,6,2,3,623,AG_SHVB-2,AG,VB,SHVB,0.7,0.1,1.2,7.72
189,6,2,3,623,AG_SHVB-2,AG,WD,SHVB,2,,,22.05
190,6,2,4,624,AG_SS-2,AG,SS,SS,0.8,0.8,6.25,8.82
190,6,2,4,624,AG_SS-2,AG,WD,SS,1.5,,,16.53
191,6,2,5,625,AG_VB-2,AG,VB,VB,0.8,0.2,2.5,8.82
191,6,2,5,625,AG_VB-2,AG,WD,VB,2.9,,,31.97
192,6,2,6,626,AG_SSVB-2,AG,SS,SSVB,1,0.6,5.75,11.02
192,6,2,6,626,AG_SSVB-2,AG,VB,SSVB,1,0.1,1,11.02
192,6,2,6,626,AG_SSVB-2,AG,WD,SSVB,1.6,,,17.64
193,6,3,1,631,AG_SHVB-3,AG,SH,SHVB,1,0.7,3.75,11.02
193,6,3,1,631,AG_SHVB-3,AG,VB,SHVB,1,0.1,0.7,11.02
193,6,3,1,631,AG_SHVB-3,AG,WD,SHVB,1.2,,,13.23
194,6,3,2,632,AG_SS-3,AG,SS,SS,0.9,0.7,3.75,9.92
194,6,3,2,632,AG_SS-3,AG,WD,SS,1,,,11.02
195,6,3,3,633,AG_VB-3,AG,VB,VB,0.9,0.1,7.75,9.92
195,6,3,3,633,AG_VB-3,AG,WD,VB,2.5,,,27.56
196,6,3,4,634,AG_SSVB-3,AG,SS,SSVB,1.6,0.7,8.25,17.64
196,6,3,4,634,AG_SSVB-3,AG,VB,SSVB,1.1,0.1,1.1,12.13
196,6,3,4,634,AG_SSVB-3,AG,WD,SSVB,1.9,,,20.94
197,6,3,5,635,AG_SH-3,AG,SH,SH,1.5,1,7.75,16.53
197,6,3,5,635,AG_SH-3,AG,WD,SH,2.5,,,27.56
198,6,3,6,636,AG_SHSS-3,AG,SH,SHSS,0.7,0.9,2.3,7.72
198,6,3,6,636,AG_SHSS-3,AG,SS,SHSS,0.8,0.8,7.75,8.82
198,6,3,6,636,AG_SHSS-3,AG,WD,SHSS,1.7,,,18.74
199,6,4,1,641,AG_SSVB-4,AG,SS,SSVB,0.34,0.14,3.21,3.75
199,6,4,1,641,AG_SSVB-4,AG,VB,SSVB,0.04,0.01,0.68,0.44
199,6,4,1,641,AG_SSVB-4,AG,WD,SSVB,0.66,,,7.28
200,6,4,2,642,AG_SHVB-4,AG,SH,SHVB,2.3,0.11,5.37,25.35
200,6,4,2,642,AG_SHVB-4,AG,VB,SHVB,0.01,0.01,0.62,0.11
200,6,4,2,642,AG_SHVB-4,AG,WD,SHVB,0.85,,,9.37
201,6,4,3,643,AG_SHSS-4,AG,SH,SHSS,0.15,0.04,1.51,1.65
201,6,4,3,643,AG_SHSS-4,AG,SS,SHSS,0.41,0.13,7.5,4.52
201,6,4,3,643,AG_SHSS-4,AG,WD,SHSS,1.39,,,15.32
202,6,4,4,644,AG_VB-4,AG,VB,VB,0.04,0.05,3.73,0.44
202,6,4,4,644,AG_VB-4,AG,WD,VB,1.43,,,15.76
203,6,4,5,645,AG_SS-4,AG,SS,SS,1.1,0.39,5.12,12.13
203,6,4,5,645,AG_SS-4,AG,WD,SS,1.35,,,14.88
204,6,4,6,646,AG_SH-4,AG,SH,SH,0.18,0.08,0.59,1.98
204,6,4,6,646,AG_SH-4,AG,WD,SH,0.77,,,8.49
205,6,5,1,651,AG_VB-5,AG,VB,VB,0.47,0.04,2.63,5.18
205,6,5,1,651,AG_VB-5,AG,WD,VB,0.98,,,10.80
206,6,5,2,652,AG_SSVB-5,AG,SS,SSVB,0.16,0.13,1.38,1.76
206,6,5,2,652,AG_SSVB-5,AG,VB,SSVB,0.03,0.01,0.3,0.33
206,6,5,2,652,AG_SSVB-5,AG,WD,SSVB,0.16,,,1.76
207,6,5,3,653,AG_SH-5,AG,SH,SH,0.49,0.18,5.3,5.4
207,6,5,3,653,AG_SH-5,AG,WD,SH,0.61,,,6.72
208,6,5,4,654,AG_SHSS-5,AG,SH,SHSS,0.21,0.06,4.96,2.31
208,6,5,4,654,AG_SHSS-5,AG,SS,SHSS,0.29,0.06,3.16,3.20
208,6,5,4,654,AG_SHSS-5,AG,WD,SHSS,0.56,,,6.17
209,6,5,5,655,AG_SHVB-5,AG,SH,SHVB,0.75,0.19,7.61,8.27
209,6,5,5,655,AG_SHVB-5,AG,VB,SHVB,0.08,0.01,1.27,0.88
209,6,5,5,655,AG_SHVB-5,AG,WD,SHVB,0.6,,,6.61
210,6,5,6,656,AG_SS-5,AG,SS,SS,0.47,0.2,6.19,5.18
210,6,5,6,656,AG_SS-5,AG,WD,SS,0.23,,,2.54
211,6,6,1,661,AG_SHSS-6,AG,SH,SHSS,0.1,0.06,0.61,1.1
211,6,6,1,661,AG_SHSS-6,AG,SS,SHSS,0.1,0.04,0.66,1.10
211,6,6,1,661,AG_SHSS-6,AG,WD,SHSS,0.17,,,1.87
212,6,6,2,662,AG_VB-6,AG,VB,VB,0.1,0.03,0.52,1.10
