PlotID,PlotName,SamplingDate,Month,Day,Year,Location,CropTrt,Block,SiteNum,RowNumber,ColNum,Position,CanWgt_g,Fresh_Wgt_g,Dry_Wgt_g,Gravel-DryWgt_g,Water-mL,Gravel+Water-Vol_mL or cm3,Gravel_Vol_mL_cm3,Soil-DryWgt_g,Soil-wtr-cnt-g/g,Soil-Vol_cm3,SoilBD_g/cm3,Soil Porosity_%
90,HH_SH-3,4/11/2019,4,11,2019,HH,SH,14,3,3,6,336,31.09,184.95,157.33,83.4,200,225,25,104.83,152.86,184.31,0.68,74.15%
91,HH_SS-4,4/11/2019,4,11,2019,HH,SS,14,3,4,1,341,31.04,172.72,150.31,92.24,200,230,30,88.92,140.68,179.31,0.67,74.90%
92,HH_SH-4,4/11/2019,4,11,2019,HH,SH,14,3,4,2,342,30.96,242.09,220.48,170.97,200,280,80,79.88,210.13,129.31,1.47,44.69%
93,HH_VB-4,4/11/2019,4,11,2019,HH,VB,14,3,4,3,343,31.25,249.66,223.02,154.23,200,270,70,100.14,217.41,139.31,1.38,48.05%
94,HH_SHVB-4,4/11/2019,4,11,2019,HH,SHVB,14,3,4,4,344,31.23,215.61,184.23,95,200,230,30,119.25,183.38,179.31,0.85,67.80%
95,HH_SSVB-4,4/11/2019,4,11,2019,HH,SSVB,14,3,4,5,345,31.11,234.65,211.95,148.87,200,265,65,94.46,202.54,144.31,1.25,52.71%
96,HH_SHSS-4,4/11/2019,4,11,2019,HH,SHSS,14,3,4,6,346,31.33,241.43,214.92,150.28,200,270,70,96.17,209.1,139.31,1.32,50.27%
97,HH_SSVB-5,4/11/2019,4,11,2019,HH,SSVB,14,3,5,1,351,31.15,206.8,187.66,134.26,200,260,60,84.73,174.65,149.31,1.05,60.44%
98,HH_VB-5,4/11/2019,4,11,2019,HH,VB,14,3,5,2,352,31.02,287.81,259.31,182.66,200,290,90,106.79,255.79,119.31,1.91,27.80%
99,HH_SHSS-5,4/11/2019,4,11,2019,HH,SHSS,14,3,5,3,353,31.18,207.1,186.54,120.88,200,250,50,96.93,174.92,159.31,0.98,63.20%
100,HH_SS-5,4/11/2019,4,11,2019,HH,SS,14,3,5,4,354,30.98,246,218.25,136.38,200,260,60,112.55,214.02,149.31,1.25,52.67%
101,HH_SH-5,4/11/2019,4,11,2019,HH,SH,14,3,5,5,355,31.25,245.15,222.46,156.87,200,270,70,96.47,212.9,139.31,1.37,48.21%
102,HH_SHVB-5,4/11/2019,4,11,2019,HH,SHVB,14,3,5,6,356,30.99,237.23,210.04,139.91,200,260,60,101.27,205.24,149.31,1.20,54.75%
103,HH_SHVB-6,4/11/2019,4,11,2019,HH,SHVB,14,3,6,1,361,31.28,260.17,232.71,144.27,200,270,70,109.53,227.89,139.31,1.45,45.44%
104,HH_SS-6,4/11/2019,4,11,2019,HH,SS,14,3,6,2,362,31.12,235.12,206.49,142.93,200,270,70,101.87,203,139.31,1.26,52.50%
105,HH_SH-6,4/11/2019,4,11,2019,HH,SH,14,3,6,3,363,31.2,218.11,194.24,126.96,200,250,50,98.53,185.91,159.31,1.02,61.38%
106,HH_SSVB-6,4/11/2019,4,11,2019,HH,SSVB,14,3,6,4,364,31.23,213.34,187.36,105.01,200,245,45,113.42,181.11,164.31,0.95,64.14%
107,HH_SHSS-6,4/11/2019,4,11,2019,HH,SHSS,14,3,6,5,365,30.96,270.16,241.86,167.76,200,280,80,104.79,238.2,129.31,1.63,38.45%
108,HH_VB-6,4/11/2019,4,11,2019,HH,VB,14,3,6,6,366,30.92,212.27,185.59,116.2,200,245,45,100.34,180.35,164.31,0.94,64.48%
